rain[mm]	 temperature[°C]	 irradiance[mümol/s/m2]	 day_length[h]	 PET[mm]	co2[ppm]
16.3	26.2	691	12	2.7	400
0	24	691.3	12	2.6	400
0	24.3	764.5	12	2.6	400
18.3	22.1	819.7	12	2.5	400
2.7	26	790.3	12	2.7	400
0.9	25.4	649.4	12	2.7	400
9	22.3	791.8	12	2.5	400
2.7	24.6	758	12	2.6	400
55.1	25	822.4	12	2.6	400
0.4	23.5	709	12	2.6	400
0	22.7	835.1	12	2.5	400
4	27.8	976.1	12	2.7	400
15.6	22.8	771.8	12	2.5	400
4	24.6	672.9	12	2.6	400
73.5	25.9	785	12	2.6	400
18.5	20.8	792.9	12	2.4	400
0.4	22.7	711	12	2.5	400
21.3	24.6	797.1	12	2.6	400
0.1	23.7	907	12	2.5	400
0	27.6	883.1	12	2.7	400
22	22.6	933	12	2.5	400
0	24	776.5	12	2.6	400
30	20.7	828.9	12	2.4	400
3	25.6	765.9	12	2.6	400
15.8	28.7	763.6	12	2.8	400
0	24.5	758.1	12	2.6	400
41.6	24.8	729	12	2.6	400
0	24.7	874.5	12	2.6	400
0	27.7	805.3	12	2.7	400
0.8	25.6	768.3	12	2.6	400
0	23.3	853.5	12	2.5	400
3	25.9	927.9	12	2.7	400
36.7	24	869.5	12	2.6	400
0	27.8	845.8	12	2.8	400
7	21.4	764.7	12	2.5	400
30.9	27.2	764.9	12	2.7	400
16.6	24	721.9	12	2.6	400
0	20	730.4	12	2.4	400
16.6	24.5	977.1	12	2.7	400
0	27.4	834.7	12	2.8	400
3.3	30.3	928.6	12	2.9	400
0.2	25.2	884.2	12	2.7	400
0	25.7	784.3	12	2.7	400
0	24.7	912.4	12	2.7	400
0	23.9	675.7	12	2.7	400
3.7	26.3	936.9	12	2.8	400
0.1	22.6	883.7	12	2.6	400
0	24.8	848	12	2.7	400
38.5	24.6	757.9	12	2.8	400
0	28.7	792.9	12	2.9	400
5.2	24.3	924.8	12	2.8	400
0.1	23.5	885.8	12	2.7	400
0	21.2	944.5	12	2.6	400
0	26.1	776.1	12	2.9	400
0.6	25.5	891.5	12	2.9	400
2.1	22	808.3	12	2.7	400
22.1	26.9	907.6	12	3	400
0	25	1140.5	12	2.9	400
16.6	22.9	790.1	12	2.8	400
6.7	25.7	888.1	12	2.9	400
0	21.6	911.2	12	2.8	400
0.2	22.7	909	12	2.8	400
7.6	22.7	883.9	12	2.8	400
10.3	23.7	1023.9	12	2.9	400
0	21.7	854.7	12	2.8	400
15.6	26.9	1048.5	12	3.1	400
0	25.4	906.6	12	3	400
3.9	24	864.4	12	3	400
33.6	26.7	776.4	12	3.1	400
8.2	26.6	730.4	12	3.2	400
0.2	24.9	938.1	12	3.1	400
0	27.5	793.5	12	3.2	400
8.4	25	1002.6	12	3.1	400
0	23.8	921.3	12	3.1	400
3.5	26.1	894.7	12	3.2	400
0	25.6	863.4	12	3.2	400
0	23.8	1055.4	12	3.1	400
5.1	25.2	950.9	12	3.2	400
0.2	22.3	956	12	3.1	400
0	29	1020.2	12	3.5	400
4.5	24.2	826.5	12	3.2	400
0	26.9	1011.9	12	3.4	400
9.6	24.7	845.3	12	3.3	400
0	19.4	852.3	12	3	400
1.3	24.5	942.3	12	3.3	400
3	24.9	775.5	12	3.4	400
0	26.2	1041.5	12	3.4	400
0	21.7	911.4	12	3.2	400
7.9	21.7	862.8	12	3.2	400
2.1	21.3	909.9	12	3.2	400
11.9	25.8	869.4	12	3.5	400
3.3	20.2	807.9	12	3.2	400
29.2	21.6	779.7	12	3.3	400
0	23	864.7	12	3.4	400
0	25	813.9	12	3.5	400
2.2	18.4	732.2	12	3.1	400
12.4	24.4	894.6	12	3.5	400
0	23.6	997.3	12	3.5	400
17.1	24.7	1203.9	12	3.6	400
14	21.9	1128.7	12	3.4	400
1.7	24.8	955.2	12	3.6	400
7.4	24.2	816.7	12	3.6	400
0	25.9	1010.6	12	3.7	400
6.6	25	994.2	12	3.7	400
0	23.4	1219.3	12	3.6	400
7.1	24.4	973.2	12	3.7	400
25.8	21.9	1071.8	12	3.5	400
0.8	21.4	896.8	12	3.5	400
0	22.8	1061.7	12	3.6	400
1.4	19.2	1050.9	12	3.4	400
13.2	22.6	1072.4	12	3.7	400
5	19.4	886.8	12	3.5	400
4.1	24.1	1001.8	12	3.8	400
16	21.6	1056.5	12	3.6	400
1.8	25.3	1138.8	12	3.9	400
0	20.1	735.4	12	3.6	400
12.8	25.8	883.4	12	4	400
0	27.7	1065.8	12	4.1	400
4.4	25.2	1268.6	12	4	400
4.3	22.4	1059.8	12	3.8	400
0	22.6	979.4	12	3.8	400
11.5	25.5	1172	12	4	400
3.7	24	1050.1	12	3.9	400
0	22.5	1009.5	12	3.9	400
0	25.5	970.5	12	4.1	400
30.9	19.6	991.3	12	3.7	400
0	20.9	1132.4	12	3.8	400
8.4	24.2	904.4	12	4	400
0	25	747	12	4.1	400
10	27.7	1140.2	12	4.3	400
0	28.9	1215.8	12	4.4	400
0	23.7	1008.1	12	4	400
1.7	20.9	1371.5	12	3.9	400
38.7	22.2	1095.5	12	4	400
0	23	1186.7	12	4	400
1.1	24.8	1130.1	12	4.2	400
1.8	18.6	1236.5	12	3.7	400
0	29.3	1122	12	4.5	400
3.1	20.2	1070.5	12	3.9	400
0	23.8	889.4	12	4.2	400
4.5	20.9	1012.5	12	4	400
0	22.7	1109.8	12	4.1	400
0	26.1	979.8	12	4.3	400
0	22.3	1252	12	4.1	400
67.9	29	1163.9	12	4.6	400
0	22.5	1075.3	12	4.1	400
25.2	23.7	945.7	12	4.2	400
2.3	23.5	1184.1	12	4.2	400
7.4	27.4	1304.6	12	4.5	400
0	20.4	1109	12	4	400
0	25.1	1087.7	12	4.4	400
0	26.7	1231.6	12	4.5	400
10.3	20.4	1154.2	12	4	400
0	28.2	1086.3	12	4.6	400
3.4	22.5	1208.7	12	4.2	400
0	28.1	950.8	12	4.6	400
10.5	23.9	1068.9	12	4.3	400
10.9	27	1070.7	12	4.5	400
0	32	961.7	12	4.9	400
0	24.7	1162.4	12	4.4	400
0	26.1	944.6	12	4.5	400
5.7	22.6	1377.1	12	4.3	400
0	26.3	1080.9	12	4.5	400
0	19.8	1101.9	12	4.1	400
0	24.6	1088.6	12	4.4	400
7.4	23.3	1222.2	12	4.3	400
0	28.1	1223.6	12	4.7	400
0	20	1157.7	12	4.1	400
0	25	1341.1	12	4.5	400
0	24.5	1008.2	12	4.4	400
3	21.3	1071.4	12	4.2	400
0	23.7	1058.9	12	4.4	400
0	23.1	1006.2	12	4.3	400
7.8	26.3	1219.4	12	4.6	400
4.2	23.4	1223.3	12	4.4	400
3.3	23.4	1230.5	12	4.4	400
0	22.7	1046.2	12	4.3	400
8	25.1	1290	12	4.5	400
22.5	20.1	1363.5	12	4.1	400
13.4	24.9	1313.2	12	4.5	400
0	22.5	1183.1	12	4.3	400
35.4	19.8	962.2	12	4.1	400
0	28.3	1143.9	12	4.8	400
0	25.1	1288.7	12	4.5	400
24.9	24.7	1137	12	4.5	400
0	24.9	1067.8	12	4.5	400
0	21.4	1081.4	12	4.3	400
8	22.9	1064.9	12	4.4	400
0	24	1164.9	12	4.5	400
0	16.7	1084.1	12	3.9	400
0	22.8	1188.8	12	4.4	400
26	24.8	1133.9	12	4.5	400
8.3	30.1	1287	12	4.9	400
15.1	27.4	1100.2	12	4.7	400
0	19.4	1030.4	12	4.1	400
0	27.2	1077.5	12	4.7	400
36.6	21.8	1464.4	12	4.3	400
7.6	22.8	1041.7	12	4.4	400
36.5	22.4	1338.4	12	4.3	400
0	24.8	1061.2	12	4.5	400
21.8	23.7	1059.9	12	4.5	400
0	22	1089.5	12	4.3	400
17.1	22.8	1079.5	12	4.4	400
1.2	23.6	1416.1	12	4.4	400
6.6	24.8	1054.5	12	4.5	400
11.1	23	1261	12	4.4	400
0	19.5	1108	12	4.1	400
